1125832.py,bretthoerner,38,32,91,0
ed148b2b1481f83f39c5.py,lapause,4,1,1,0
9d34f7f77a110ede1b6dcc734cb3b501.py,amarkanala,151,19,3,25
2866253.py,jcinis,6,12,52,54
4050951.py,omz,13,70,948,8
2732076.py,sadimusi,31,23,25,7
e50393d03c68fda6472b7fdb8df7d5ff.py,phrazzld,38,1,26,55
98bdf28473f3fd1d2e27.py,achillean,13,22,334,3
858851.py,kgaughan,69,136,52,45
b502e5d864b283a3b493d27abfaf6ecb.py,liangliannie,23,52,7,10
1454922.py,samatjain,26,10,15,7
8f0be512821c8e646e60.py,nicholastjohnson,3,4,0,0
1473120.py,flaviamissi,54,42,184,64
9fc66c08f5d68ad486b4.py,tshirtman,84,662,156,22
e71d6a6ccaa960964ac4.py,Sait2000,15,11,2,0
db709c8c1279348e0638.py,pklaus,134,191,64,12
29891675298b10c36bdf5ff3790f93b4.py,DmitryBurnaev,7,2,2,2
8514907.py,cwebber314,18,22,1,0
3373703.py,teepark,78,72,69,75
ffd5eb9df5fde0655e67.py,orbitbot,56,21,21,1
6407257.py,sloria,129,67,906,12
87c9fe34a166591c3000.py,tomconte,84,43,47,9
289814198f43976aff9b.py,hosackm,50,17,4,0
443622de54589e31c1d98c6ea8eff84b.py,robcarver17,6,15,304,0
b8462a8a1cb69f55d8356cbb0f3a4d63.py,CarlosGS,37,5,230,179
2802185.py,ohsqueezy,2,8,1,0
2930287.py,Alir3z4,72,101,51,0
a526bddf953f5dea367e64fc2995b443.py,narate,60,40,53,10
39c53f824daef7d363db.py,celoyd,9,60,125,0
0755eb222de1f595e4e3a07a62db8702.py,icoxfog417,152,66,328,6
4667205.py,fmasanori,11,116,979,1
d6d714a4724c63d1fb5d2cd38eb79362.py,blaz-kranjc,9,6,13,19
8969259.py,erichiggins,16,13,9,0
798911.py,jacobian,39,133,2381,23
d2d2f7dec6932d932fed.py,magicdawn,155,19,99,63
6d799da1a393d59a0571cf3c94437c49.py,Justdoit2,16,33,1,0
1288159.py,ibeex,31,20,7,0
2550880.py,dndx,42,8,178,48
9003090.py,thewellington,19,35,3,4
5996074.py,larsmans,64,13,235,24
5809279.py,SebastianJarsve,5,12,8,5
2363c699e893c66ac7ed72da29804b0a.py,realcr,24,1,13,1
1140516.py,troolee,16,8,64,13
09a93e219a6ffc4f216fb85235535faf.py,quadrismegistus,14,3,61,27
3684595.py,moird,17,6,7,9
